Signature(SHA256),Analysis Time(seconds),Node Processing Time(seconds), Order |V|, Size (|E|)
3e3fad9888856ce195c9c239ad014074f687ba288c78ef26660be93ddd97289e,48.56,3.69,35337,53553
3e96709bb940d80b4ffe950fa589fff66fbf84eb752de49f115bc51c28e179f5,6.62,0.02,3,2
3eb7f1dd0274bd4ffcdf463876ab547503f9e6120db22c5e1923fe16cab71b50,70.42,5.04,47099,71233
40126ae71b857dd22db39611c25d3d5dd0e60316b72830e930fba9baf23973ce,5.71,0.02,3,2
42ed1c56b967d721a4b6b98cd525b33f76c35d727ae9910466f650682af66302,29.58,1.84,11523,17241
43b0ac119ff957bb209d86ec206ea1ec3c51dd87bebf7b4a649c7e6c7f3756e7,126.36,4.94,42359,63379
44b7eebf7a26d466f9c7ad4ddb058503f7066aded180ab6d5162197c47780293,1535.39,1.98,15443,25071
44d933ece41417b88fe4961b801c851d7b802d3d5c32bfeba187041b6f675faa,16.12,0.79,4809,7272
44df64e201f3e8fb0ec9f113e3ab7a674d3aedd43dc7a904a7779cce506b0e38,29.33,1.51,11523,17241
454bc550201e856022e35ca3e64e9aab582a0fbc6bc73656aa792e5b934fe2a3,29.71,1.91,11523,17241
456b9adaabae9f3dce2207aa71410987f0a571cd8c11f2e7b41468501a863606,157.87,1.75,13533,19574
45b708ab19d34af228aca784051cf526ebe4891dfa77bb6099b6dce50cb6c0f7,29.01,1.71,11523,17241
463075274e328bd47d8092f4901e67f7fff6c5d972b5ffcf821d3c988797e8e3,11.87,1.18,3136,4514
4736c32628eb7399cb90476b2549913e670f350b2fa75636a03e49201526a804,28.75,1.67,11523,17241
47aa84cda2854d32ed9621b6121281069caecdbe7f0b665183aba0bd4db3d729,16.23,0.69,6337,9274
47d98fd41e36f04b676bc8315f45689d5a7cffe3d8563d79c1125b4fbc81cccf,30.76,1.45,11523,17241
4813872718b5ac1cb99b9b944fc04ee59f20d8bc3f11ef8740dce016dffdefa4,27.87,1.74,11523,17241
485580b18e988e1b13fc11582b424a65132f003333b22367b47d2135cc0c3799,28.71,1.53,11523,17241
4860fb00cb47a226e10ead2cee546b7f64e5e79fec5f77e1256d16251a8e3e8a,28.86,1.69,11523,17241
4866d6994c2f8b4dadfaabc2e2b81bd86c12f68fdf0da13d41d7b0e30bea0801,27.52,1.56,12114,18184
493017c3920bf30ccbb97016a535ffe9d85d55f10ac8f5c8d5c0e18bd1b763dc,33.12,2.53,11523,17241
493fa2f304a534a97a47d9584704030ae1f712585c37bdd7aa17ca3a17606f6f,32.43,2.04,11523,17241
498dfa128704bc0f36818cbe462cff085d5a4614051e7907da570a87bac4fba2,33.24,2.8,11523,17241
49916c9c2a9d6b3c60f541891966bfff62e9b3eb9b682ced8600e7e9415b033d,62.9,5.09,43222,66521
499f70bf65bc78f8bb44d66b80e7f24dcc0679f6f4f3eebd3a97a05d24d401af,34.17,2.61,11523,17241
4a0e7565db16ed833a083bc9927f032be5e6918eed712982cd76e87e99510778,61.07,5,43221,66520
4a97599ff5823166112d9221d0e824af7896f6ca40cd3948ec129533787a3ea9,14.77,0.48,1249,1756
4ad9216a0a6ac84a7b0b5593b0fc97e27de9cdfeb84ab7e5339ae5a4102100c0,1687.27,2.57,14041,21674
4afda03ddeb1c62a1f87765ea383f920621134c3f6362959cb9993c24752fcb0,135.16,6.56,42695,63902
